GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01000295.1	0	0	0	1	0	0
CVRK01000296.1	1	1	15	14	4	3
CVRK01000297.1	0	0	1	2	0	0
CVRK01000298.1	2	1	1	0	0	0
CVRK01000299.1	6	5	0	0	0	0
CVRK01000300.1	3	6	0	0	0	0
CVRK01000301.1	1	1	0	0	1	1
CVRK01000302.1	19	20	9	7	8	11
CVRK01000303.1	0	0	0	1	0	0
CVRK01000304.1	5	5	0	0	0	0
CVRK01000305.1	51	48	36	35	27	28
CVRK01000306.1	43	43	54	57	7	6
CVRK01000307.1	178	168	297	286	46	44
CVRK01000308.1	2	1	2	2	0	2
CVRK01000309.1	15	17	27	29	7	7
CVRK01000310.1	329	332	425	404	281	271
CVRK01000311.1	0	1	0	0	0	0
CVRK01000312.1	1	6	6	3	0	0
CVRK01000313.1	0	0	0	0	0	0
CVRK01000314.1	57	51	4	4	0	0
CVRK01000315.1	26	25	211	203	703	694
CVRK01000316.1	105	102	6	1	1	1
CVRK01000317.1	557	541	177	171	54	55
CVRK01000318.1	1295	1258	655	638	371	365
CVRK01000319.1	0	0	0	0	0	0
CVRK01000320.1	2	1	1	1	1	0
CVRK01000321.1	35	36	31	43	10	10
CVRK01000322.1	1	0	12	4	0	1
CVRK01000323.1	0	0	0	0	0	0
CVRK01000324.1	9	10	14	11	3	3
CVRK01000325.1	49	51	1	2	1	0
CVRK01000326.1	0	0	2	0	0	0
CVRK01000328.1	623	603	220	219	244	240
CVRK01000329.1	730	682	369	382	237	220
CVRK01000330.1	46	55	8	12	14	8
CVRK01000331.1	14	13	12	9	2	5
CVRK01000332.1	88	81	19	17	2	2
CVRK01000333.1	1	3	5	2	0	2
CVRK01000334.1	1	1	4	3	1	2
CVRK01000335.1	4	4	0	0	0	0
CVRK01000336.1	243	229	101	93	182	176
CVRK01000337.1	8	7	6	5	4	6
CVRK01000338.1	1	0	0	0	0	0
CVRK01000339.1	151	138	118	111	79	75
CVRK01000340.1	99	95	177	172	233	228
CVRK01000341.1	8	4	9	13	4	6
CVRK01000342.1	0	0	0	0	0	0
CVRK01000343.1	27	27	3	2	5	5
CVRK01000344.1	1	1	0	0	0	0
CVRK01000345.1	115	110	34	45	7	9
CVRK01000346.1	0	1	0	0	0	0
CVRK01000347.1	23	24	26	28	7	11
CVRK01000348.1	6	7	12	10	0	0
CVRK01000349.1	4	4	1	1	0	0
CVRK01000350.1	65	63	20	22	2	1
CVRK01000351.1	0	0	0	0	0	0
CVRK01000352.1	151	153	28	29	4	4
CVRK01000353.1	18	5	8	10	7	7
CVRK01000354.1	11	11	2	2	1	0
CVRK01000355.1	0	0	1	0	0	1
CVRK01000356.1	6	6	0	4	1	1
CVRK01000357.1	2	3	4	3	1	1
CVRK01000358.1	2	2	88	93	321	318
CVRK01000359.1	1	3	205	198	634	623
CVRK01000360.1	0	0	0	1	0	0
CVRK01000361.1	0	0	0	0	0	0
CVRK01000362.1	16	13	2	3	9	12
CVRK01000363.1	2	2	2	3	0	0
CVRK01000364.1	17	8	20	27	13	23
CVRK01000365.1	2	1	1	2	0	0
CVRK01000366.1	273	276	113	101	90	85
CVRK01000367.1	1	1	0	0	0	0
CVRK01000369.1	5138	5005	5373	5270	3929	3768
CVRK01000370.1	1	2	1	1	0	0
CVRK01000371.1	426	414	974	939	1432	1357
CVRK01000372.1	90	98	49	52	27	26
CVRK01000373.1	1	1	0	0	1	1
CVRK01000374.1	2201	2159	306	291	213	199
CVRK01000375.1	34	37	6	4	11	8
CVRK01000377.1	4	5	2	2	0	0
CVRK01000378.1	106	104	99	100	46	48
CVRK01000379.1	2	2	0	0	0	0
CVRK01000380.1	53	55	2	2	0	0
CVRK01000381.1	2	2	2	1	0	0
CVRK01000382.1	0	0	0	0	0	0
CVRK01000383.1	0	0	0	0	0	0
CVRK01000384.1	0	0	0	0	0	0
CVRK01000385.1	3	5	80	78	16	15
CVRK01000386.1	0	0	6	7	3	4
CVRK01000387.1	2	1	0	0	0	0
CVRK01000388.1	0	0	0	0	0	0
CVRK01000389.1	9	9	8	5	2	2
CVRK01000390.1	0	0	0	0	0	0
CVRK01000391.1	38	35	108	116	69	62
CVRK01000392.1	2	1	22	27	0	0
CVRK01000393.1	42	39	7	7	0	0
CVRK01000394.1	83	80	46	43	30	30
CVRK01000395.1	202	200	15	16	5	4
CVRK01000396.1	27	18	25	14	5	6
CVRK01000398.1	13	15	3	2	3	3
CVRK01000399.1	13	13	0	0	0	0
CVRK01000400.1	0	0	0	0	0	0
CVRK01000401.1	0	0	0	0	0	0
CVRK01000402.1	579	552	395	385	185	186
CVRK01000403.1	0	0	0	2	0	0
CVRK01000404.1	0	0	0	0	0	0
CVRK01000405.1	34	34	13	17	14	12
CVRK01000406.1	10	13	7	6	1	0
CVRK01000407.1	519	508	0	0	0	0
CVRK01000408.1	64	59	53	46	74	68
CVRK01000409.1	24	16	63	59	1	1
CVRK01000410.1	2	1	2	0	0	0
CVRK01000411.1	5	2	0	0	0	0
CVRK01000412.1	67	61	9	13	1	0
CVRK01000413.1	55	58	55	49	66	68
CVRK01000414.1	0	0	0	0	0	0
CVRK01000416.1	1	4	9	7	3	6
CVRK01000417.1	13	15	12	12	7	9
CVRK01000418.1	48	46	63	71	31	29
CVRK01000419.1	21	19	9	9	7	7
CVRK01000420.1	0	0	0	0	0	1
CVRK01000421.1	2	2	2	2	0	0
CVRK01000422.1	1	0	0	1	0	0
CVRK01000423.1	12	12	7	6	2	3
CVRK01000424.1	63	62	747	707	99	82
CVRK01000425.1	2	2	0	0	0	0
CVRK01000426.1	1369	1299	628	611	303	297
CVRK01000427.1	0	0	0	0	0	0
CVRK01000428.1	246	242	326	319	469	454
CVRK01000429.1	2	5	4	5	6	2
CVRK01000430.1	1	0	4	4	2	2
CVRK01000431.1	1	1	0	0	0	0
CVRK01000432.1	110	115	30	25	6	6
CVRK01000433.1	2	2	0	0	0	0
CVRK01000434.1	20	20	6	5	1	1
CVRK01000435.1	229	223	73	67	33	30
CVRK01000436.1	12	13	12	14	10	7
