GENE	S_alburnoides%Sq_AA_rep1	S_alburnoides%Sq_AA_rep2	S_alburnoides_allo%Sq_PAA_rep1	S_alburnoides_allo%Sq_PAA_rep2	S_pyrenaicus%Sq_PP_rep1	S_pyrenaicus%Sq_PP_rep2
CVRK01025991.1	14	18	0	2	1	2
CVRK01025992.1	49	45	0	0	0	0
CVRK01025993.1	7	7	1	1	9	8
CVRK01025994.1	59	57	30	32	8	5
CVRK01025995.1	108	87	83	72	53	51
CVRK01025996.1	0	0	0	0	0	0
CVRK01025997.1	0	0	0	0	0	0
CVRK01025998.1	6	6	6	5	7	6
CVRK01025999.1	1	1	2	2	0	0
CVRK01026000.1	15	11	48	43	1	3
CVRK01026001.1	17	14	30	28	1	1
CVRK01026002.1	1	1	3	3	0	0
CVRK01026003.1	379	363	264	252	119	111
CVRK01026004.1	5	4	5	5	0	0
CVRK01026005.1	1578	1504	21	18	3	2
CVRK01026006.1	1	5	3	2	0	0
CVRK01026007.1	37	32	106	101	12	13
CVRK01026008.1	1	0	0	0	0	0
CVRK01026009.1	4	2	1	0	0	0
CVRK01026010.1	53	53	10	10	37	39
CVRK01026011.1	0	0	0	0	0	0
CVRK01026012.1	1039	997	575	573	239	233
CVRK01026013.1	28	29	75	75	21	20
CVRK01026014.1	102	90	62	60	74	71
CVRK01026015.1	7	6	59	56	6	7
CVRK01026016.1	10	11	4	2	4	4
CVRK01026017.1	183	177	55	52	17	17
CVRK01026018.1	1	1	0	0	0	0
CVRK01026019.1	72	71	60	57	12	12
CVRK01026020.1	1	0	1	1	3	5
CVRK01026021.1	3	7	5	6	5	5
CVRK01026022.1	0	0	0	0	0	0
CVRK01026023.1	0	0	4	4	2	4
CVRK01026024.1	36	32	27	25	10	8
CVRK01026025.1	168	169	199	178	235	223
CVRK01026026.1	9	9	3	3	6	9
CVRK01026027.1	11	10	13	12	5	5
CVRK01026028.1	0	0	0	0	0	0
CVRK01026029.1	0	0	0	0	0	0
CVRK01026030.1	1	2	24	21	15	14
CVRK01026031.1	15	22	2	2	0	0
CVRK01026032.1	1	0	0	0	0	1
CVRK01026033.1	89	86	105	111	3	5
CVRK01026034.1	28	26	8	25	11	5
CVRK01026035.1	184	177	275	266	317	302
CVRK01026036.1	0	0	0	0	1	0
CVRK01026037.1	5	6	3	3	1	0
CVRK01026038.1	0	0	0	0	0	0
CVRK01026039.1	119	126	300	309	88	73
CVRK01026040.1	1	1	1	1	17	18
CVRK01026041.1	0	0	0	0	0	0
CVRK01026042.1	0	0	0	0	0	0
CVRK01026043.1	0	0	0	0	0	0
CVRK01026044.1	17	16	15	14	1	1
CVRK01026045.1	0	0	0	0	0	0
CVRK01026046.1	12	9	5	14	12	12
CVRK01026047.1	2	5	6	8	0	1
CVRK01026048.1	0	0	0	0	0	0
CVRK01026049.1	10	14	19	19	6	5
CVRK01026050.1	0	0	0	0	0	0
CVRK01026051.1	149	137	34	32	24	21
CVRK01026052.1	0	0	0	0	0	0
CVRK01026053.1	7	5	2	3	0	0
CVRK01026054.1	5	7	0	0	0	0
CVRK01026055.1	3	2	0	0	0	0
CVRK01026056.1	546	541	1087	1100	471	462
CVRK01026058.1	63	70	41	40	5	4
CVRK01026059.1	100	97	31	27	2	1
CVRK01026060.1	0	0	0	0	2	2
CVRK01026061.1	0	0	1	0	0	0
CVRK01026062.1	2	0	0	0	0	0
CVRK01026063.1	0	0	0	0	0	0
CVRK01026064.1	42	39	64	62	39	34
CVRK01026065.1	7	6	1	2	3	4
CVRK01026067.1	16	21	716	688	4	2
CVRK01026068.1	0	0	0	0	21	12
CVRK01026069.1	6	2	14	16	5	2
CVRK01026070.1	0	0	1	2	0	0
CVRK01026071.1	0	0	0	0	0	0
CVRK01026072.1	12	13	10	7	1	1
CVRK01026073.1	1716	1675	268	272	129	126
CVRK01026074.1	103	90	31	34	16	15
CVRK01026075.1	45	53	17	18	2	0
CVRK01026076.1	19	22	3	3	0	2
CVRK01026077.1	0	0	0	0	0	0
CVRK01026078.1	0	0	0	0	0	0
CVRK01026079.1	22	15	14	13	6	8
CVRK01026080.1	12	11	13	5	2	1
CVRK01026081.1	114	119	0	0	0	0
CVRK01026082.1	0	0	0	0	2	1
CVRK01026083.1	174	163	993	974	8	7
CVRK01026084.1	20	22	18	20	10	9
CVRK01026085.1	0	0	0	0	0	0
CVRK01026086.1	1	0	0	1	0	0
CVRK01026087.1	0	0	0	0	0	0
CVRK01026088.1	5	2	5	6	1	0
CVRK01026089.1	630	642	263	272	66	58
CVRK01026090.1	0	0	0	0	0	0
CVRK01026091.1	0	0	0	0	1	2
CVRK01026092.1	2	1	2	2	0	0
CVRK01026093.1	0	0	1	1	0	0
CVRK01026094.1	16	12	0	1	0	0
CVRK01026095.1	2	1	22	28	2	2
CVRK01026096.1	33	41	45	43	2	3
CVRK01026097.1	4	4	2	2	0	0
CVRK01026098.1	27	24	521	505	40	41
CVRK01026099.1	0	0	3	1	0	0
CVRK01026100.1	47	44	453	432	147	154
CVRK01026101.1	36	25	31	31	29	22
CVRK01026102.1	0	0	0	0	0	0
CVRK01026103.1	0	0	0	0	0	0
CVRK01026104.1	0	0	0	0	0	0
CVRK01026105.1	1	0	2	1	0	0
CVRK01026106.1	2	2	2	2	0	0
CVRK01026107.1	0	0	0	0	0	0
CVRK01026108.1	132	127	28	28	22	21
CVRK01026109.1	34	35	41	42	23	21
CVRK01026110.1	0	0	0	0	0	0
CVRK01026111.1	1	1	1	1	0	0
CVRK01026112.1	3	2	0	0	1	1
CVRK01026113.1	212	204	17	17	0	0
CVRK01026114.1	40	37	59	59	16	17
CVRK01026115.1	169	160	149	143	39	34
CVRK01026116.1	1	2	0	0	0	0
CVRK01026117.1	115	105	49	57	18	13
CVRK01026118.1	0	0	0	0	0	0
CVRK01026119.1	34	33	92	86	2	3
CVRK01026120.1	1	1	0	0	0	0
CVRK01026121.1	3	3	0	0	2	2
CVRK01026122.1	72	67	32	29	21	19
CVRK01026123.1	0	0	0	0	0	0
CVRK01026124.1	3	2	4	3	0	0
CVRK01026125.1	37	37	4	5	2	2
CVRK01026126.1	2	5	1	1	2	2
CVRK01026127.1	0	2	1	2	0	0
CVRK01026128.1	3	4	0	0	0	0
CVRK01026129.1	0	0	0	0	0	0
CVRK01026130.1	0	0	0	0	0	0
CVRK01026131.1	717	726	352	333	87	80
CVRK01026132.1	666	629	174	161	125	121
CVRK01026133.1	1	0	7	3	0	0
CVRK01026134.1	1	0	3	5	0	0
CVRK01026135.1	28	26	4	5	1	1
CVRK01026136.1	0	0	9	7	0	0
CVRK01026137.1	4	7	4	5	4	3
CVRK01026138.1	1663	1591	8636	8329	9172	8871
CVRK01026139.1	93	89	55	53	32	33
CVRK01026140.1	0	0	0	0	0	0
CVRK01026141.1	19	19	38	38	2	1
CVRK01026142.1	0	1	0	0	0	0
CVRK01026143.1	116	115	1	1	1	1
CVRK01026144.1	2	0	0	0	0	0
CVRK01026145.1	33	45	24	24	7	4
CVRK01026146.1	2	2	1	0	0	0
CVRK01026147.1	0	0	0	0	0	0
CVRK01026148.1	0	0	0	0	0	0
CVRK01026149.1	553	528	1791	1738	1412	1357
CVRK01026150.1	1	1	0	0	0	0
CVRK01026151.1	0	0	0	0	0	0
CVRK01026152.1	0	0	0	0	0	0
CVRK01026153.1	1594	1561	2	1	0	0
CVRK01026154.1	2117	2017	0	2	0	0
CVRK01026155.1	11	13	10	9	1	0
CVRK01026156.1	25	32	16	13	7	8
CVRK01026157.1	10	9	5	5	2	2
CVRK01026158.1	0	0	0	0	0	0
CVRK01026159.1	2	2	0	0	0	0
CVRK01026160.1	3598	3442	136	129	72	73
CVRK01026161.1	14	12	12	9	7	7
CVRK01026162.1	78	78	14	16	5	5
CVRK01026163.1	300	303	56	55	1	1
CVRK01026164.1	0	0	0	0	0	0
CVRK01026165.1	41	31	14	16	5	3
CVRK01026166.1	4	6	0	0	0	0
CVRK01026167.1	3407	3329	1733	1711	429	425
CVRK01026168.1	3	3	3	3	6	4
CVRK01026169.1	1	1	1	1	0	0
CVRK01026170.1	11	10	8	7	1	2
CVRK01026171.1	147	137	119	142	17	22
CVRK01026172.1	0	0	0	0	0	0
CVRK01026173.1	0	1	0	0	0	0
CVRK01026174.1	0	0	0	0	0	0
CVRK01026175.1	25	30	2	3	5	5
CVRK01026176.1	0	0	2	2	0	0
CVRK01026177.1	0	0	0	0	0	0
CVRK01026178.1	78	79	105	102	17	16
CVRK01026179.1	117	106	6	6	0	0
CVRK01026180.1	0	0	0	0	0	0
CVRK01026181.1	4	3	0	0	0	0
CVRK01026182.1	0	0	1	1	1	1
CVRK01026183.1	0	0	0	0	0	0
CVRK01026184.1	398	385	384	375	129	131
CVRK01026185.1	4	8	0	0	0	0
CVRK01026186.1	14	18	2	4	3	0
CVRK01026187.1	47	45	3	3	0	1
CVRK01026188.1	0	0	1	1	0	0
CVRK01026189.1	16	15	38	37	0	0
CVRK01026190.1	211	219	79	75	15	14
CVRK01026191.1	19	16	0	2	7	11
CVRK01026192.1	0	0	2	1	0	0
CVRK01026193.1	160	156	94	87	63	65
CVRK01026194.1	4	2	10	6	0	0
CVRK01026195.1	720	705	11	8	4	1
CVRK01026196.1	70	70	44	50	52	49
CVRK01026197.1	0	0	0	0	0	0
CVRK01026198.1	0	0	0	0	0	0
CVRK01026199.1	212	190	216	202	37	37
CVRK01026200.1	1	1	0	0	0	0
CVRK01026201.1	0	0	0	0	0	0
CVRK01026202.1	2	3	1	1	0	0
CVRK01026203.1	6	6	1	1	0	0
CVRK01026204.1	0	0	3	6	0	0
CVRK01026205.1	0	0	5	4	42	44
CVRK01026206.1	17	21	0	0	1	1
CVRK01026207.1	77	78	61	54	0	2
CVRK01026208.1	0	0	9	7	7	7
CVRK01026209.1	15	10	13	12	9	11
CVRK01026210.1	11	10	6	8	1	0
CVRK01026211.1	18	20	37	44	21	19
CVRK01026212.1	0	0	1	2	0	0
CVRK01026213.1	4	5	0	0	0	0
CVRK01026214.1	19	17	2	3	1	1
CVRK01026215.1	1	1	0	0	0	0
CVRK01026216.1	0	1	0	0	4	3
CVRK01026217.1	1	1	0	0	2	2
CVRK01026218.1	0	0	0	0	0	0
CVRK01026219.1	5	2	7	7	1	1
CVRK01026220.1	117	108	113	112	132	128
CVRK01026221.1	0	0	0	0	0	0
CVRK01026222.1	5	5	2	2	0	0
CVRK01026223.1	1	1	2	3	0	0
CVRK01026224.1	0	0	0	0	0	0
CVRK01026225.1	81	77	41	43	65	67
CVRK01026226.1	0	0	0	0	0	0
CVRK01026227.1	339	323	20	23	5	2
CVRK01026228.1	1	1	0	0	0	0
CVRK01026229.1	5	5	3	2	2	1
CVRK01026230.1	6	4	3	4	0	1
CVRK01026231.1	24	18	23	17	10	4
CVRK01026232.1	0	0	0	0	0	0
CVRK01026233.1	278	279	13	15	63	65
CVRK01026234.1	14	14	7	8	1	2
CVRK01026235.1	0	0	2	3	0	0
CVRK01026236.1	0	0	0	0	0	0
CVRK01026237.1	0	1	0	0	0	0
CVRK01026238.1	0	0	2	4	0	0
CVRK01026239.1	0	0	0	0	0	0
CVRK01026240.1	1	3	2	4	1	2
CVRK01026241.1	9	12	2	4	0	0
CVRK01026242.1	11	13	0	0	0	0
CVRK01026243.1	0	0	0	0	1	0
CVRK01026244.1	2	1	16	14	0	0
CVRK01026245.1	96	98	3	4	0	0
CVRK01026246.1	5	5	1	1	1	1
CVRK01026247.1	0	1	0	0	0	0
CVRK01026248.1	0	0	0	0	0	0
CVRK01026249.1	141	137	22	21	19	27
CVRK01026250.1	0	0	0	0	0	0
CVRK01026251.1	5	4	1	1	0	0
CVRK01026252.1	2	4	1	0	0	0
CVRK01026253.1	29	27	0	0	0	0
CVRK01026254.1	0	0	0	0	0	0
CVRK01026255.1	0	0	0	0	0	1
CVRK01026256.1	232	220	91	82	0	0
CVRK01026257.1	12	12	0	0	0	0
CVRK01026258.1	0	0	0	0	0	0
CVRK01026259.1	14	10	35	30	6	5
CVRK01026260.1	0	0	3	2	0	0
CVRK01026261.1	8	7	1	0	1	1
CVRK01026262.1	0	0	0	1	0	0
CVRK01026263.1	2	2	1	1	0	0
CVRK01026264.1	0	0	0	0	0	0
CVRK01026265.1	5	7	12	8	8	8
CVRK01026266.1	16	15	0	0	0	0
CVRK01026267.1	36	43	9	9	0	0
CVRK01026268.1	0	0	0	0	0	0
CVRK01026269.1	0	0	0	0	0	0
CVRK01026271.1	14	15	1	1	1	3
CVRK01026272.1	17	8	0	1	0	2
CVRK01026273.1	0	0	0	0	0	0
CVRK01026274.1	61	59	11	16	5	6
CVRK01026276.1	11	11	10	9	0	0
CVRK01026277.1	0	0	0	0	0	0
CVRK01026278.1	146	147	39	39	18	19
CVRK01026279.1	26	31	2	1	5	7
CVRK01026280.1	114	113	337	319	412	403
CVRK01026281.1	4	3	3	6	0	1
CVRK01026282.1	0	0	13	24	21	23
CVRK01026283.1	0	0	0	1	0	0
CVRK01026284.1	23	19	46	47	71	71
CVRK01026285.1	0	0	0	0	0	0
CVRK01026286.1	1	0	0	0	0	0
CVRK01026287.1	350	341	1124	1085	757	747
CVRK01026288.1	13	10	6	6	1	1
CVRK01026289.1	0	0	0	0	0	0
CVRK01026290.1	500	522	201	205	78	81
CVRK01026291.1	0	2	0	0	0	0
CVRK01026292.1	8	2	3	6	0	0
CVRK01026293.1	0	0	0	0	0	0
CVRK01026294.1	0	0	0	0	0	0
CVRK01026295.1	19	16	5	4	0	0
CVRK01026296.1	57	51	11	7	12	10
CVRK01026297.1	719	702	5	6	17	16
CVRK01026298.1	5	3	0	0	0	0
CVRK01026299.1	1	1	0	0	0	1
CVRK01026300.1	0	0	0	0	0	0
CVRK01026301.1	2	1	0	2	1	0
CVRK01026302.1	12	7	4	3	2	1
CVRK01026303.1	68	61	22	22	16	17
CVRK01026304.1	0	0	0	0	1	1
CVRK01026305.1	31	38	41	34	16	17
CVRK01026306.1	0	0	0	0	0	0
CVRK01026307.1	0	0	1	0	0	0
CVRK01026308.1	3	4	4	3	0	0
CVRK01026309.1	357	345	147	144	117	109
CVRK01026310.1	21	19	1	1	0	0
CVRK01026311.1	38	45	3	5	1	0
CVRK01026312.1	37	32	70	64	139	151
CVRK01026313.1	4	4	0	0	1	1
CVRK01026314.1	0	0	0	0	0	0
CVRK01026315.1	0	0	0	0	0	0
CVRK01026316.1	138	129	15	18	4	7
CVRK01026317.1	40	42	4	2	1	2
CVRK01026318.1	1	1	0	0	0	0
CVRK01026319.1	36	36	31	21	4	5
CVRK01026320.1	2925	2813	9231	8996	5530	5339
CVRK01026322.1	0	0	1	1	0	0
CVRK01026323.1	1071	1024	565	547	359	350
CVRK01026324.1	126	124	80	76	21	21
CVRK01026325.1	9	11	187	189	43	37
CVRK01026326.1	0	0	0	1	0	0
CVRK01026328.1	0	0	0	0	0	0
CVRK01026329.1	0	0	3	1	2	2
CVRK01026330.1	0	0	0	0	0	0
CVRK01026331.1	116	125	134	128	44	40
CVRK01026332.1	1	1	0	0	0	0
CVRK01026333.1	0	0	165	173	0	0
CVRK01026334.1	0	0	0	0	0	0
CVRK01026335.1	0	0	0	0	0	0
CVRK01026336.1	1	1	0	0	0	0
CVRK01026337.1	4	4	2	2	0	0
CVRK01026338.1	831	808	298	306	174	166
CVRK01026339.1	0	0	0	0	0	0
CVRK01026340.1	8	8	8	6	3	5
CVRK01026341.1	143	154	124	122	37	35
CVRK01026342.1	86	79	62	63	45	42
CVRK01026343.1	68	67	78	75	45	40
CVRK01026344.1	83	79	2	2	2	2
CVRK01026345.1	22	21	6	9	2	2
CVRK01026346.1	19	10	2	0	1	0
CVRK01026347.1	39	29	5	3	0	0
CVRK01026348.1	10	9	9	11	3	3
CVRK01026349.1	2	2	1	1	0	0
CVRK01026350.1	8	10	11	11	2	9
CVRK01026351.1	1	1	5	6	2	4
CVRK01026352.1	3	4	2	1	0	0
CVRK01026353.1	0	0	4	2	0	0
CVRK01026354.1	0	0	0	0	0	0
CVRK01026355.1	0	0	0	0	0	0
CVRK01026356.1	7	7	13	14	14	10
CVRK01026357.1	29	23	63	58	101	96
CVRK01026358.1	15	20	3	2	0	0
CVRK01026359.1	2	2	0	0	0	0
CVRK01026360.1	1	1	0	0	0	0
CVRK01026361.1	0	0	1	0	0	0
CVRK01026362.1	1	2	1	1	0	0
CVRK01026363.1	83	78	52	46	25	25
CVRK01026364.1	0	0	0	0	0	0
CVRK01026365.1	0	0	0	0	0	0
CVRK01026366.1	65	67	48	45	1	3
CVRK01026367.1	0	0	0	0	0	0
CVRK01026368.1	200	206	319	318	108	109
CVRK01026369.1	0	0	1	0	0	0
CVRK01026370.1	34	37	0	0	0	0
CVRK01026371.1	127	124	71	58	64	69
CVRK01026372.1	0	0	0	0	0	0
CVRK01026373.1	2326	2423	0	0	0	0
CVRK01026374.1	4559	4396	4077	3953	6653	6564
CVRK01026375.1	17	18	3	3	2	2
CVRK01026376.1	355	358	830	787	703	700
CVRK01026377.1	27	26	45	45	28	34
CVRK01026378.1	327	330	52	48	25	25
CVRK01026379.1	0	0	0	1	0	0
CVRK01026380.1	111	94	7	8	1	1
CVRK01026381.1	192	193	176	173	107	105
CVRK01026382.1	78	74	51	46	13	13
CVRK01026383.1	1163	1153	327	312	246	242
CVRK01026384.1	28	29	1	1	0	0
CVRK01026385.1	387	361	148	144	50	45
CVRK01026386.1	3	3	0	0	1	0
CVRK01026388.1	25	24	15	8	3	1
CVRK01026389.1	116	115	99	93	96	88
CVRK01026390.1	164	162	184	183	45	41
CVRK01026391.1	3	4	2	2	0	0
CVRK01026392.1	129	133	74	69	17	15
CVRK01026393.1	24	23	4	3	0	0
CVRK01026394.1	180	175	50	52	119	123
CVRK01026395.1	4	3	4	2	1	1
CVRK01026396.1	662	643	571	566	422	429
CVRK01026397.1	3	3	0	0	0	0
CVRK01026398.1	1	1	1	2	1	0
CVRK01026399.1	26	25	15	13	3	3
CVRK01026400.1	338	340	283	273	307	287
CVRK01026401.1	398	392	98	93	77	76
CVRK01026402.1	368	351	60	56	71	73
CVRK01026403.1	154	154	124	125	77	76
CVRK01026404.1	450	439	137	131	67	61
CVRK01026405.1	65	74	18	20	5	5
CVRK01026406.1	1017	998	466	462	337	344
CVRK01026407.1	942	885	337	343	199	190
CVRK01026408.1	186	187	86	84	45	43
CVRK01026409.1	327	314	728	711	1494	1470
CVRK01026410.1	12	12	41	40	48	50
CVRK01026411.1	6	4	4	4	1	1
CVRK01026412.1	76	74	53	53	23	22
CVRK01026413.1	49	48	89	77	11	13
CVRK01026414.1	235	225	14	15	39	35
CVRK01026415.1	2494	2466	960	939	288	263
CVRK01026416.1	39	37	31	29	12	12
CVRK01026417.1	302	283	360	342	74	64
CVRK01026418.1	1	0	1	0	0	0
CVRK01026419.1	10	13	8	14	3	3
CVRK01026420.1	143	144	12	11	1	1
CVRK01026421.1	531	523	89	87	11	13
CVRK01026422.1	4	4	1	0	0	0
CVRK01026423.1	330	315	421	421	259	248
CVRK01026424.1	0	2	0	0	0	0
CVRK01026425.1	15	15	0	0	11	8
CVRK01026426.1	4	4	3	0	1	2
CVRK01026427.1	205	194	64	64	65	65
CVRK01026428.1	358	352	223	219	91	89
CVRK01026429.1	186	182	116	121	54	55
CVRK01026430.1	51	41	59	57	37	44
CVRK01026431.1	3	3	5	6	2	2
CVRK01026432.1	37	30	31	35	9	14
CVRK01026433.1	72	72	14	14	12	10
CVRK01026434.1	0	0	0	0	0	0
CVRK01026435.1	5	4	2	0	1	0
CVRK01026436.1	231	211	86	80	16	15
CVRK01026437.1	0	0	0	0	0	0
CVRK01026438.1	7	4	0	0	0	0
CVRK01026439.1	0	0	0	0	0	0
CVRK01026440.1	1002	1008	407	412	200	200
CVRK01026441.1	1105	1075	1306	1253	509	492
CVRK01026442.1	7	6	1	1	0	0
CVRK01026443.1	84	82	40	35	33	35
CVRK01026444.1	23	24	13	12	0	0
CVRK01026445.1	0	0	0	0	2	2
CVRK01026446.1	36	45	22	21	0	0
CVRK01026447.1	10	10	10	10	10	13
CVRK01026448.1	134	135	103	102	99	93
CVRK01026449.1	260	265	14	16	7	8
CVRK01026450.1	155	143	72	67	62	54
CVRK01026451.1	468	446	123	123	47	40
CVRK01026452.1	11	9	9	12	7	7
CVRK01026453.1	2	1	0	0	21	26
CVRK01026454.1	43	49	11	10	6	7
CVRK01026455.1	397	375	137	136	121	117
CVRK01026456.1	0	0	0	0	0	0
CVRK01026457.1	329	317	301	294	105	104
CVRK01026458.1	44	37	21	18	14	14
CVRK01026459.1	30	28	43	42	71	67
CVRK01026460.1	2	1	0	0	0	1
CVRK01026461.1	346	323	220	220	119	123
CVRK01026462.1	29	30	100	95	29	30
CVRK01026463.1	526	507	320	312	136	136
CVRK01026464.1	330	312	120	115	44	43
CVRK01026465.1	152	158	67	69	23	22
CVRK01026466.1	1048	1031	740	722	574	564
CVRK01026467.1	44	43	33	30	13	11
CVRK01026468.1	139	134	63	62	68	67
CVRK01026469.1	4243	4211	9217	8886	1721	1698
CVRK01026470.1	3008	2847	4524	4384	1852	1786
CVRK01026471.1	377	361	112	107	70	67
CVRK01026472.1	444	434	198	201	92	89
CVRK01026473.1	1	1	0	0	0	0
CVRK01026474.1	0	0	0	0	0	0
CVRK01026475.1	342	333	47	45	39	36
CVRK01026476.1	1	1	0	0	0	0
CVRK01026477.1	2	0	12	17	1	0
CVRK01026478.1	0	1	3	3	6	11
CVRK01026479.1	0	0	0	0	0	0
CVRK01026480.1	964	943	6303	5909	3649	3767
CVRK01026481.1	5	11	1	0	0	0
CVRK01026482.1	77	79	58	47	23	26
CVRK01026483.1	0	0	0	0	1	0
CVRK01026484.1	22	27	2	1	1	1
CVRK01026485.1	127	125	107	116	117	113
CVRK01026486.1	285	271	50	48	16	16
CVRK01026487.1	60	58	0	0	0	0
CVRK01026488.1	4	3	3	3	0	0
CVRK01026489.1	1	0	4	3	1	2
CVRK01026490.1	0	0	1	0	0	0
CVRK01026491.1	145	139	48	49	27	28
CVRK01026492.1	239	244	64	67	37	31
CVRK01026493.1	154	144	63	63	21	22
CVRK01026494.1	124	119	54	51	33	30
CVRK01026495.1	0	3	0	1	1	0
CVRK01026496.1	1	1	1	1	1	2
CVRK01026497.1	0	0	0	0	0	0
CVRK01026498.1	302	348	501	493	312	285
CVRK01026499.1	0	0	0	0	0	0
CVRK01026500.1	224	200	58	67	85	83
CVRK01026501.1	8	10	25	29	11	16
CVRK01026502.1	82	84	101	98	34	31
CVRK01026503.1	0	0	0	0	0	0
CVRK01026504.1	23	24	3	3	0	0
CVRK01026505.1	27	24	2	2	6	6
CVRK01026506.1	74	66	26	25	19	14
CVRK01026507.1	59	60	1	1	1	2
CVRK01026508.1	143	136	6	5	7	7
CVRK01026509.1	0	0	0	0	0	0
CVRK01026510.1	0	0	0	0	0	0
CVRK01026511.1	2	2	0	0	4	4
CVRK01026512.1	263	260	66	65	124	116
CVRK01026513.1	175	176	70	65	79	88
CVRK01026514.1	217	213	87	89	21	16
CVRK01026515.1	3	0	2	2	0	2
CVRK01026516.1	2140	2089	11	8	3	2
CVRK01026517.1	51	47	7	8	1	0
CVRK01026518.1	2	0	0	0	0	0
CVRK01026519.1	5	4	12	14	2	2
CVRK01026520.1	53	50	6	5	3	3
CVRK01026521.1	156	186	75	65	22	15
CVRK01026522.1	0	0	0	0	0	0
CVRK01026523.1	0	0	0	0	0	0
CVRK01026524.1	647	627	562	545	218	190
CVRK01026525.1	118	117	65	61	14	12
CVRK01026526.1	7	8	0	0	0	0
CVRK01026527.1	0	0	1	1	0	0
CVRK01026528.1	0	0	0	0	0	0
CVRK01026529.1	0	0	4	6	0	0
CVRK01026530.1	67	52	43	38	4	5
CVRK01026531.1	6	10	0	0	0	0
CVRK01026532.1	458	435	701	668	784	767
CVRK01026533.1	0	0	0	0	0	0
CVRK01026534.1	45	36	101	92	13	9
CVRK01026535.1	0	0	0	0	0	0
CVRK01026536.1	286	268	0	0	1	1
CVRK01026537.1	1	1	1	1	0	0
CVRK01026538.1	34	34	5	6	0	0
CVRK01026539.1	81	70	55	81	274	291
CVRK01026540.1	9	11	3	2	8	9
CVRK01026541.1	60	58	38	32	10	10
CVRK01026542.1	55	49	1	2	0	0
CVRK01026543.1	45	43	19	19	3	3
CVRK01026544.1	0	0	0	0	0	0
CVRK01026545.1	46	62	5	1	22	13
CVRK01026546.1	4	5	0	0	0	0
CVRK01026548.1	595	576	0	0	0	0
CVRK01026549.1	1	1	0	0	0	0
CVRK01026550.1	0	0	0	0	0	0
CVRK01026551.1	400	389	137	136	284	291
CVRK01026552.1	24	24	23	22	9	9
CVRK01026553.1	0	0	0	0	0	0
CVRK01026554.1	16	14	4	3	0	0
CVRK01026555.1	24	20	353	354	18	21
CVRK01026556.1	48	57	37	34	1	1
CVRK01026557.1	0	0	0	0	1	1
CVRK01026558.1	0	0	0	0	0	0
CVRK01026559.1	0	0	0	0	0	0
CVRK01026560.1	81	82	13	10	18	17
CVRK01026561.1	76	67	17	18	1	1
CVRK01026562.1	682	662	644	628	505	491
CVRK01026563.1	0	0	58	60	19	12
CVRK01026564.1	13	16	25	19	14	11
CVRK01026565.1	0	1	2	1	0	1
CVRK01026566.1	1	1	1	2	0	0
CVRK01026567.1	49	44	8	11	1	1
CVRK01026568.1	13	17	0	0	0	0
CVRK01026569.1	120	124	518	536	50	46
CVRK01026570.1	9	10	265	268	56	42
CVRK01026571.1	0	0	0	0	0	0
CVRK01026572.1	26	23	4	4	0	0
CVRK01026573.1	0	0	0	0	0	0
CVRK01026574.1	4	0	0	0	0	1
CVRK01026575.1	523	511	172	171	107	100
CVRK01026576.1	0	0	2	2	14	13
CVRK01026577.1	0	0	0	0	0	0
CVRK01026578.1	9	7	2	2	0	0
CVRK01026579.1	114	113	102	102	92	81
CVRK01026580.1	2	4	2	4	1	2
CVRK01026581.1	2637	2542	114	110	79	76
CVRK01026582.1	48	46	21	20	19	15
CVRK01026583.1	6	5	0	0	0	0
CVRK01026584.1	585	564	886	858	407	399
CVRK01026585.1	4	9	5	8	5	2
CVRK01026586.1	2	2	4	1	2	1
CVRK01026587.1	2	1	1	2	1	1
CVRK01026588.1	1	2	0	0	0	0
CVRK01026589.1	61	53	43	47	21	19
CVRK01026590.1	5	5	2	2	0	0
CVRK01026591.1	45	40	27	23	16	17
CVRK01026592.1	0	0	31	33	16	17
CVRK01026593.1	0	0	22	22	11	8
CVRK01026594.1	59	61	57	48	20	20
CVRK01026595.1	7	7	1	1	0	0
CVRK01026596.1	62	57	107	114	74	68
CVRK01026597.1	55	53	3	3	3	2
CVRK01026598.1	4	6	0	0	1	1
CVRK01026599.1	0	0	0	0	0	0
CVRK01026600.1	69	76	17	17	6	7
CVRK01026601.1	22	22	11	11	5	3
CVRK01026602.1	258	234	331	341	359	348
CVRK01026603.1	0	1	0	0	0	0
CVRK01026604.1	404	390	593	562	518	506
CVRK01026605.1	0	0	0	0	0	0
CVRK01026606.1	2	2	0	0	4	4
CVRK01026607.1	1	2	2	3	1	1
CVRK01026608.1	64	62	27	29	21	22
CVRK01026609.1	1	1	0	0	0	0
CVRK01026610.1	1	1	64	63	32	30
CVRK01026611.1	0	0	2	1	32	29
CVRK01026612.1	0	0	0	0	0	0
CVRK01026613.1	84	75	3	4	7	8
CVRK01026614.1	963	941	152	152	71	74
CVRK01026615.1	226	217	15	15	0	0
CVRK01026616.1	197	203	71	68	39	36
CVRK01026617.1	183	188	327	320	193	183
CVRK01026618.1	0	1	0	0	0	0
CVRK01026619.1	18	22	2	2	4	2
CVRK01026620.1	2	1	0	0	0	0
CVRK01026621.1	8	7	2	1	18	15
CVRK01026622.1	3	2	4	4	41	44
CVRK01026623.1	0	0	0	0	29	28
CVRK01026624.1	123	109	104	98	89	88
