GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030673.1_cds_XP_017604156.1_30548	7	1	1	1	0	1
lcl|NC_030673.1_cds_XP_017604157.1_30549	60	21	17	8	10	5
lcl|NC_030673.1_cds_XP_017605823.1_30550	19	18	0	0	1	0
lcl|NC_030673.1_cds_XP_017604158.1_30551	10	5	1	0	2	3
lcl|NC_030673.1_cds_XP_017605947.1_30552	12	8	2	0	1	0
lcl|NC_030673.1_cds_XP_017604160.1_30554	13	6	3	5	4	5
lcl|NC_030673.1_cds_XP_017606046.1_30555	65	53	14	19	5	2
lcl|NC_030673.1_cds_XP_017603119.1_30556	26	14	34	42	0	0
lcl|NC_030673.1_cds_XP_017604161.1_30557	75	50	7	8	1	1
lcl|NC_030673.1_cds_XP_017606247.1_30559	3	1	1	0	0	0
lcl|NC_030673.1_cds_XP_017606246.1_30560	13	18	6	11	7	10
lcl|NC_030673.1_cds_XP_017604162.1_30561	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604163.1_30562	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604166.1_30564	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604167.1_30565	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604170.1_30568	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604171.1_30569	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604173.1_30571	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603205.1_30576	89	58	74	62	114	107
lcl|NC_030673.1_cds_XP_017607199.1_30578	20	15	31	27	23	15
lcl|NC_030673.1_cds_XP_017607200.1_30579	47	26	35	33	33	34
lcl|NC_030673.1_cds_XP_017605099.1_30580	436	239	420	502	618	449
lcl|NC_030673.1_cds_XP_017607482.1_30581	80	63	53	58	55	31
lcl|NC_030673.1_cds_XP_017607591.1_30583	44	27	49	46	56	32
lcl|NC_030673.1_cds_XP_017607590.1_30584	36	23	24	29	33	21
lcl|NC_030673.1_cds_XP_017605514.1_30585	6	3	7	4	14	14
lcl|NC_030673.1_cds_XP_017603064.1_30586	664	434	571	723	752	486
lcl|NC_030673.1_cds_XP_017606426.1_30587	101	49	609	531	928	761
lcl|NC_030673.1_cds_XP_017603580.1_30592	24	11	68	76	71	44
lcl|NC_030673.1_cds_XP_017605116.1_30594	63	35	32	41	34	21
lcl|NC_030673.1_cds_XP_017650022.1_30595	92	77	57	74	53	43
lcl|NC_030673.1_cds_XP_017603498.1_30598	251	200	291	354	280	135
lcl|NC_030673.1_cds_XP_017603195.1_30599	121	77	127	136	121	87
lcl|NC_030673.1_cds_XP_017602959.1_30600	163	105	52	72	30	33
lcl|NC_030673.1_cds_XP_017605468.1_30602	56	32	32	44	102	51
lcl|NC_030673.1_cds_XP_017604180.1_30603	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605293.1_30604	3	6	8	0	5	3
lcl|NC_030673.1_cds_XP_017603859.1_30605	2250	1621	1901	1412	2393	1355
lcl|NC_030673.1_cds_XP_017606069.1_30606	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017650221.1_30607	34	14	20	33	25	22
lcl|NC_030673.1_cds_XP_017603432.1_30609	57	50	40	42	26	26
lcl|NC_030673.1_cds_XP_017607194.1_30610	69	23	46	65	54	28
lcl|NC_030673.1_cds_XP_017607195.1_30611	17	20	25	10	22	12
lcl|NC_030673.1_cds_XP_017603330.1_30612	485	228	464	632	523	396
lcl|NC_030673.1_cds_XP_017605489.1_30613	5	2	28	31	31	21
lcl|NC_030673.1_cds_XP_017604181.1_30615	4	1	5	0	1	0
lcl|NC_030673.1_cds_XP_017605467.1_30616	14	8	3	5	12	6
lcl|NC_030673.1_cds_XP_017604182.1_30617	4	3	1	0	4	4
lcl|NC_030673.1_cds_XP_017602838.1_30618	126	65	77	54	157	82
lcl|NC_030673.1_cds_XP_017607682.1_30619	273	247	258	155	174	143
lcl|NC_030673.1_cds_XP_017650163.1_30620	400	256	436	432	442	261
lcl|NC_030673.1_cds_XP_017607556.1_30621	366	196	186	219	273	232
lcl|NC_030673.1_cds_XP_017604054.1_30622	6	3	13	11	10	7
lcl|NC_030673.1_cds_XP_017606639.1_30623	292	206	401	445	168	155
lcl|NC_030673.1_cds_XP_017604183.1_30626	813	659	604	688	922	507
lcl|NC_030673.1_cds_XP_017603087.1_30627	95	58	108	114	29	29
lcl|NC_030673.1_cds_XP_017607065.1_30628	666	509	431	449	414	267
lcl|NC_030673.1_cds_XP_017605608.1_30629	0	0	3	1	0	0
lcl|NC_030673.1_cds_XP_017605607.1_30630	9	8	21	27	26	20
lcl|NC_030673.1_cds_XP_017606655.1_30631	1086	684	725	521	641	427
lcl|NC_030673.1_cds_XP_017607053.1_30632	136	60	82	71	46	43
lcl|NC_030673.1_cds_XP_017607054.1_30633	116	74	83	80	54	37
lcl|NC_030673.1_cds_XP_017604184.1_30634	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017606605.1_30635	100	58	73	91	36	26
lcl|NC_030673.1_cds_XP_017606607.1_30636	4	2	0	1	0	0
lcl|NC_030673.1_cds_XP_017606608.1_30637	4	0	11	12	7	6
lcl|NC_030673.1_cds_XP_017606603.1_30638	222	150	259	242	198	180
lcl|NC_030673.1_cds_XP_017603182.1_30640	285	124	126	195	172	170
lcl|NC_030673.1_cds_XP_017603651.1_30642	14	8	11	28	35	26
lcl|NC_030673.1_cds_XP_017605145.1_30645	110	72	37	33	47	46
lcl|NC_030673.1_cds_XP_017605731.1_30646	0	3	2	2	0	0
lcl|NC_030673.1_cds_XP_017603115.1_30647	14	11	8	9	11	9
lcl|NC_030673.1_cds_XP_017606891.1_30648	167	108	138	106	221	162
lcl|NC_030673.1_cds_XP_017603756.1_30649	1144	627	805	725	519	336
lcl|NC_030673.1_cds_XP_017606693.1_30650	241	158	251	262	231	178
lcl|NC_030673.1_cds_XP_017604185.1_30653	22	11	41	72	77	33
lcl|NC_030673.1_cds_XP_017605002.1_30654	5	6	0	3	30	17
lcl|NC_030673.1_cds_XP_017605315.1_30655	0	0	0	0	1	1
lcl|NC_030673.1_cds_XP_017605779.1_30657	0	0	0	0	2	2
lcl|NC_030673.1_cds_XP_017604186.1_30658	0	0	1	0	0	0
lcl|NC_030673.1_cds_XP_017604188.1_30659	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017650192.1_30660	44	45	41	30	29	18
lcl|NC_030673.1_cds_XP_017606925.1_30661	342	229	497	429	520	330
lcl|NC_030673.1_cds_XP_017607219.1_30662	266	138	141	200	151	117
lcl|NC_030673.1_cds_XP_017607217.1_30663	21	16	24	16	39	24
lcl|NC_030673.1_cds_XP_017604189.1_30665	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017650115.1_30666	116	95	75	114	104	62
lcl|NC_030673.1_cds_XP_017603891.1_30667	64	41	69	58	59	43
lcl|NC_030673.1_cds_XP_017603980.1_30669	74	47	65	72	78	56
lcl|NC_030673.1_cds_XP_017603623.1_30670	77	41	63	46	37	32
lcl|NC_030673.1_cds_XP_017606825.1_30672	177	126	186	173	111	97
lcl|NC_030673.1_cds_XP_017602846.1_30673	578	294	482	654	527	343
lcl|NC_030673.1_cds_XP_017607403.1_30674	842	468	700	603	521	315
lcl|NC_030673.1_cds_XP_017604190.1_30675	0	0	1	0	4	0
lcl|NC_030673.1_cds_XP_017606547.1_30676	218	112	132	226	174	167
lcl|NC_030673.1_cds_XP_017606545.1_30678	176	109	151	182	155	157
lcl|NC_030673.1_cds_XP_017605149.1_30680	15	4	3	0	38	7
lcl|NC_030673.1_cds_XP_017606946.1_30681	28	14	28	27	14	13
lcl|NC_030673.1_cds_XP_017606947.1_30682	50	33	84	67	96	62
lcl|NC_030673.1_cds_XP_017606949.1_30684	0	0	2	1	1	0
lcl|NC_030673.1_cds_XP_017607035.1_30685	139	75	147	153	211	167
lcl|NC_030673.1_cds_XP_017605960.1_30689	2	4	8	7	0	0
lcl|NC_030673.1_cds_XP_017606784.1_30691	241	153	192	255	146	155
lcl|NC_030673.1_cds_XP_017606786.1_30693	89	51	30	24	20	13
lcl|NC_030673.1_cds_XP_017606787.1_30694	37	22	2	1	39	28
lcl|NC_030673.1_cds_XP_017604191.1_30695	10	6	0	1	4	2
lcl|NC_030673.1_cds_XP_017602910.1_30696	281	150	173	213	132	121
lcl|NC_030673.1_cds_XP_017602908.1_30697	232	139	230	220	84	67
lcl|NC_030673.1_cds_XP_017650181.1_30700	18	9	8	8	16	9
lcl|NC_030673.1_cds_XP_017650184.1_30701	15	11	14	16	15	8
lcl|NC_030673.1_cds_XP_017650182.1_30703	17	11	9	8	7	8
lcl|NC_030673.1_cds_XP_017650187.1_30704	15768	11093	11260	11337	17185	9652
lcl|NC_030673.1_cds_XP_017606983.1_30705	40	19	18	11	13	11
lcl|NC_030673.1_cds_XP_017606982.1_30707	37	17	19	22	16	9
lcl|NC_030673.1_cds_XP_017605644.1_30708	3	0	5	2	1	1
lcl|NC_030673.1_cds_XP_017606037.1_30709	4	13	9	5	6	14
lcl|NC_030673.1_cds_XP_017604192.1_30710	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603102.1_30711	133	87	115	97	117	73
lcl|NC_030673.1_cds_XP_017603750.1_30712	76	42	58	63	21	21
lcl|NC_030673.1_cds_XP_017607003.1_30713	925	626	845	979	917	631
lcl|NC_030673.1_cds_XP_017607222.1_30714	171	92	157	192	507	308
lcl|NC_030673.1_cds_XP_017603429.1_30715	73	51	63	84	98	84
lcl|NC_030673.1_cds_XP_017603352.1_30719	69	41	70	77	75	55
lcl|NC_030673.1_cds_XP_017604193.1_30720	1	0	1	0	2	3
lcl|NC_030673.1_cds_XP_017602945.1_30721	1531	787	447	585	244	156
lcl|NC_030673.1_cds_XP_017603852.1_30722	34	15	20	33	15	16
lcl|NC_030673.1_cds_XP_017605688.1_30723	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603648.1_30724	44	23	40	18	49	16
lcl|NC_030673.1_cds_XP_017607462.1_30726	263	185	453	499	290	196
lcl|NC_030673.1_cds_XP_017603053.1_30727	21	10	32	15	42	32
lcl|NC_030673.1_cds_XP_017650242.1_30729	225	132	96	134	77	55
lcl|NC_030673.1_cds_XP_017605161.1_30730	22	16	11	21	28	16
lcl|NC_030673.1_cds_XP_017603975.1_30731	118	76	42	29	44	41
lcl|NC_030673.1_cds_XP_017604994.1_30732	82	68	17	44	41	16
lcl|NC_030673.1_cds_XP_017604042.1_30733	55	23	20	17	23	16
lcl|NC_030673.1_cds_XP_017603265.1_30734	34	19	58	89	34	21
lcl|NC_030673.1_cds_XP_017603066.1_30735	224	114	95	119	361	279
lcl|NC_030673.1_cds_XP_017606869.1_30742	61	42	40	51	129	96
lcl|NC_030673.1_cds_XP_017606871.1_30745	146	78	128	120	312	204
lcl|NC_030673.1_cds_XP_017603467.1_30746	57	50	74	47	35	29
lcl|NC_030673.1_cds_XP_017607687.1_30747	273	176	163	147	103	71
lcl|NC_030673.1_cds_XP_017604194.1_30748	0	0	3	0	0	0
lcl|NC_030673.1_cds_XP_017605668.1_30750	0	0	35	47	9	6
lcl|NC_030673.1_cds_XP_017604197.1_30751	0	0	0	0	1	2
lcl|NC_030673.1_cds_XP_017604198.1_30752	0	0	2	5	0	0
lcl|NC_030673.1_cds_XP_017604199.1_30753	0	0	1	0	0	0
lcl|NC_030673.1_cds_XP_017650073.1_30754	292	143	263	330	238	155
lcl|NC_030673.1_cds_XP_017650072.1_30755	6	4	26	35	10	11
lcl|NC_030673.1_cds_XP_017604045.1_30756	13	13	6	3	2	1
lcl|NC_030673.1_cds_XP_017604200.1_30757	11	9	37	25	17	11
lcl|NC_030673.1_cds_XP_017602781.1_30758	35	26	121	159	52	36
lcl|NC_030673.1_cds_XP_017603822.1_30759	91	59	100	113	166	83
lcl|NC_030673.1_cds_XP_017650159.1_30761	65	18	44	63	52	40
lcl|NC_030673.1_cds_XP_017603658.1_30762	147	78	75	153	155	139
lcl|NC_030673.1_cds_XP_017607453.1_30763	49	35	28	15	19	9
lcl|NC_030673.1_cds_XP_017603734.1_30765	29	27	10	7	19	18
lcl|NC_030673.1_cds_XP_017604201.1_30767	2	3	1	6	0	2
lcl|NC_030673.1_cds_XP_017606989.1_30768	1	1	1	0	1	1
lcl|NC_030673.1_cds_XP_017606992.1_30769	97	72	68	101	82	62
lcl|NC_030673.1_cds_XP_017606990.1_30770	120	66	105	203	112	103
lcl|NC_030673.1_cds_XP_017605192.1_30772	37	18	8	11	54	19
lcl|NC_030673.1_cds_XP_017603617.1_30773	46	38	41	43	47	42
lcl|NC_030673.1_cds_XP_017605154.1_30774	0	0	0	0	0	1
lcl|NC_030673.1_cds_XP_017606834.1_30776	305	172	222	221	369	260
lcl|NC_030673.1_cds_XP_017603271.1_30778	66	22	46	58	42	30
lcl|NC_030673.1_cds_XP_017606150.1_30779	423	198	389	258	120	102
lcl|NC_030673.1_cds_XP_017606149.1_30780	451	283	386	396	355	277
lcl|NC_030673.1_cds_XP_017607538.1_30781	247	173	225	225	150	113
lcl|NC_030673.1_cds_XP_017605486.1_30783	7	1	1	4	3	5
lcl|NC_030673.1_cds_XP_017603934.1_30784	107	76	30	35	38	13
lcl|NC_030673.1_cds_XP_017602839.1_30785	220	116	122	184	174	95
lcl|NC_030673.1_cds_XP_017603985.1_30786	15	8	19	16	3	3
lcl|NC_030673.1_cds_XP_017604203.1_30792	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604204.1_30793	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017607266.1_30794	111	102	120	136	141	119
lcl|NC_030673.1_cds_XP_017603266.1_30796	70	52	38	32	47	30
lcl|NC_030673.1_cds_XP_017606700.1_30797	297	158	370	323	442	289
lcl|NC_030673.1_cds_XP_017602974.1_30802	56	38	54	44	42	27
lcl|NC_030673.1_cds_XP_017605861.1_30804	13	8	12	15	41	34
lcl|NC_030673.1_cds_XP_017605728.1_30805	11	12	6	3	28	13
lcl|NC_030673.1_cds_XP_017603753.1_30806	17	7	15	17	6	5
lcl|NC_030673.1_cds_XP_017603976.1_30807	18	9	47	30	43	18
lcl|NC_030673.1_cds_XP_017605637.1_30809	4	4	15	17	23	21
lcl|NC_030673.1_cds_XP_017606359.1_30811	506	318	413	313	434	401
lcl|NC_030673.1_cds_XP_017606362.1_30814	378	224	282	305	236	148
lcl|NC_030673.1_cds_XP_017603137.1_30815	136	90	92	59	131	99
lcl|NC_030673.1_cds_XP_017606917.1_30816	127	45	109	122	100	63
lcl|NC_030673.1_cds_XP_017604043.1_30818	280	121	278	423	407	355
lcl|NC_030673.1_cds_XP_017605723.1_30819	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603368.1_30820	184	103	117	148	112	77
lcl|NC_030673.1_cds_XP_017602913.1_30821	202	122	174	145	156	70
lcl|NC_030673.1_cds_XP_017603204.1_30822	126	74	150	186	114	75
lcl|NC_030673.1_cds_XP_017650108.1_30823	653	454	503	433	305	184
lcl|NC_030673.1_cds_XP_017603173.1_30824	398	338	233	106	55	27
lcl|NC_030673.1_cds_XP_017605463.1_30825	6	3	3	5	14	8
lcl|NC_030673.1_cds_XP_017602897.1_30826	11	9	4	4	5	0
lcl|NC_030673.1_cds_XP_017604205.1_30827	3	2	1	0	2	2
lcl|NC_030673.1_cds_XP_017603538.1_30828	125	114	208	123	171	69
lcl|NC_030673.1_cds_XP_017605887.1_30829	18	6	5	5	1	0
lcl|NC_030673.1_cds_XP_017605965.1_30830	3	3	0	0	4	1
lcl|NC_030673.1_cds_XP_017603843.1_30831	99	57	69	108	76	58
lcl|NC_030673.1_cds_XP_017603613.1_30832	0	0	2	1	3	0
lcl|NC_030673.1_cds_XP_017603610.1_30835	1	0	1	3	0	1
lcl|NC_030673.1_cds_XP_017605409.1_30836	17	4	16	10	66	43
lcl|NC_030673.1_cds_XP_017602882.1_30837	41	33	49	32	52	29
lcl|NC_030673.1_cds_XP_017605624.1_30838	0	0	0	1	0	0
lcl|NC_030673.1_cds_XP_017605993.1_30839	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606455.1_30840	178	128	124	82	110	82
lcl|NC_030673.1_cds_XP_017606456.1_30841	63	35	93	77	204	123
lcl|NC_030673.1_cds_XP_017607517.1_30842	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017607516.1_30843	29	16	38	25	21	15
lcl|NC_030673.1_cds_XP_017607096.1_30844	78	33	32	24	35	22
lcl|NC_030673.1_cds_XP_017603731.1_30845	15	5	25	12	23	6
lcl|NC_030673.1_cds_XP_017605078.1_30846	42	63	69	70	86	39
lcl|NC_030673.1_cds_XP_017606194.1_30847	752	574	430	416	1897	1130
lcl|NC_030673.1_cds_XP_017606193.1_30848	153	86	83	96	246	183
lcl|NC_030673.1_cds_XP_017603761.1_30850	81	38	17	18	1	0
lcl|NC_030673.1_cds_XP_017603919.1_30855	23	18	48	39	52	28
lcl|NC_030673.1_cds_XP_017607136.1_30856	178	128	221	182	255	146
lcl|NC_030673.1_cds_XP_017606530.1_30857	84	50	69	73	142	74
lcl|NC_030673.1_cds_XP_017606532.1_30859	997	733	698	801	731	413
lcl|NC_030673.1_cds_XP_017606529.1_30860	26	29	25	16	20	14
lcl|NC_030673.1_cds_XP_017604083.1_30861	64	45	70	118	56	45
lcl|NC_030673.1_cds_XP_017604937.1_30862	56	26	75	84	114	76
lcl|NC_030673.1_cds_XP_017603757.1_30865	11	7	2	9	16	13
lcl|NC_030673.1_cds_XP_017606086.1_30866	13	3	3	2	0	0
lcl|NC_030673.1_cds_XP_017603334.1_30867	162	103	61	63	119	74
lcl|NC_030673.1_cds_XP_017604206.1_30870	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605418.1_30871	10	7	7	6	4	0
lcl|NC_030673.1_cds_XP_017603212.1_30873	1	1	5	10	22	12
lcl|NC_030673.1_cds_XP_017605805.1_30874	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605346.1_30875	19	10	16	10	31	21
lcl|NC_030673.1_cds_XP_017603824.1_30876	78	56	28	23	27	17
lcl|NC_030673.1_cds_XP_017603371.1_30877	65	34	60	95	52	27
lcl|NC_030673.1_cds_XP_017603269.1_30878	80	36	50	51	45	30
lcl|NC_030673.1_cds_XP_017607286.1_30879	409	223	190	266	249	192
lcl|NC_030673.1_cds_XP_017605092.1_30880	77	34	51	23	25	26
lcl|NC_030673.1_cds_XP_017603085.1_30881	173	130	121	175	124	104
lcl|NC_030673.1_cds_XP_017603192.1_30882	86	72	95	49	54	35
lcl|NC_030673.1_cds_XP_017606587.1_30883	0	0	1	0	0	0
lcl|NC_030673.1_cds_XP_017606586.1_30884	83	64	33	35	26	27
lcl|NC_030673.1_cds_XP_017603445.1_30885	131	66	91	120	65	42
lcl|NC_030673.1_cds_XP_017606902.1_30888	730	437	768	621	411	319
lcl|NC_030673.1_cds_XP_017650063.1_30891	278	166	175	158	254	166
lcl|NC_030673.1_cds_XP_017606943.1_30892	233	124	337	320	256	122
lcl|NC_030673.1_cds_XP_017606944.1_30893	87	46	39	39	96	61
lcl|NC_030673.1_cds_XP_017605041.1_30894	17	10	11	29	12	8
lcl|NC_030673.1_cds_XP_017606889.1_30895	97	46	92	85	106	57
lcl|NC_030673.1_cds_XP_017607317.1_30896	71	40	113	143	107	73
lcl|NC_030673.1_cds_XP_017605507.1_30898	22	11	4	13	10	8
lcl|NC_030673.1_cds_XP_017603607.1_30899	160	97	93	40	96	40
lcl|NC_030673.1_cds_XP_017650211.1_30901	134	105	213	192	176	110
lcl|NC_030673.1_cds_XP_017607473.1_30903	153	116	168	95	153	88
lcl|NC_030673.1_cds_XP_017607033.1_30904	245	153	255	269	266	216
lcl|NC_030673.1_cds_XP_017607032.1_30905	38	29	26	28	25	12
lcl|NC_030673.1_cds_XP_017605459.1_30906	74	44	38	36	26	14
lcl|NC_030673.1_cds_XP_017605791.1_30907	18	15	3	1	4	2
lcl|NC_030673.1_cds_XP_017604208.1_30908	2	1	8	7	29	14
lcl|NC_030673.1_cds_XP_017606479.1_30909	191	112	176	109	110	117
lcl|NC_030673.1_cds_XP_017603217.1_30910	84	54	33	47	9	8
lcl|NC_030673.1_cds_XP_017604209.1_30912	0	1	0	0	0	0
lcl|NC_030673.1_cds_XP_017605350.1_30913	20	12	16	8	0	0
lcl|NC_030673.1_cds_XP_017605351.1_30914	1	4	8	5	0	0
lcl|NC_030673.1_cds_XP_017604210.1_30915	306	161	225	229	196	116
lcl|NC_030673.1_cds_XP_017603956.1_30916	62	37	43	34	37	20
lcl|NC_030673.1_cds_XP_017603208.1_30918	26	15	42	66	53	37
lcl|NC_030673.1_cds_XP_017606803.1_30922	83	68	64	68	72	58
lcl|NC_030673.1_cds_XP_017606805.1_30924	62	46	47	38	56	36
lcl|NC_030673.1_cds_XP_017606807.1_30925	60	45	47	43	64	31
lcl|NC_030673.1_cds_XP_017605330.1_30926	5	5	17	32	32	12
lcl|NC_030673.1_cds_XP_017607397.1_30927	111	64	121	126	96	47
lcl|NC_030673.1_cds_XP_017603591.1_30928	45	30	45	51	68	36
lcl|NC_030673.1_cds_XP_017603048.1_30929	1	0	3	9	5	8
lcl|NC_030673.1_cds_XP_017603049.1_30930	168	100	193	231	189	143
lcl|NC_030673.1_cds_XP_017602833.1_30931	92	69	120	114	39	15
lcl|NC_030673.1_cds_XP_017606555.1_30933	619	406	550	598	334	256
lcl|NC_030673.1_cds_XP_017606444.1_30934	9	7	19	14	4	3
lcl|NC_030673.1_cds_XP_017606443.1_30935	238	186	201	169	129	65
lcl|NC_030673.1_cds_XP_017605240.1_30936	9	9	15	19	8	1
lcl|NC_030673.1_cds_XP_017603543.1_30938	210	133	151	294	131	98
lcl|NC_030673.1_cds_XP_017603870.1_30939	113	75	53	52	41	36
lcl|NC_030673.1_cds_XP_017604956.1_30940	7	8	11	7	4	2
lcl|NC_030673.1_cds_XP_017603894.1_30942	107	94	125	141	82	66
lcl|NC_030673.1_cds_XP_017603860.1_30944	120	70	152	121	67	36
lcl|NC_030673.1_cds_XP_017605515.1_30945	22	10	17	17	5	3
lcl|NC_030673.1_cds_XP_017607456.1_30948	326	194	300	297	286	240
lcl|NC_030673.1_cds_XP_017604212.1_30949	23	6	16	18	7	3
lcl|NC_030673.1_cds_XP_017602827.1_30950	51	40	57	54	47	21
lcl|NC_030673.1_cds_XP_017605048.1_30953	28	36	39	40	12	14
lcl|NC_030673.1_cds_XP_017605883.1_30954	6	8	0	0	0	0
lcl|NC_030673.1_cds_XP_017606387.1_30955	173	128	157	106	130	118
lcl|NC_030673.1_cds_XP_017606389.1_30957	107	101	122	140	89	42
lcl|NC_030673.1_cds_XP_017605227.1_30958	37	35	31	35	6	5
lcl|NC_030673.1_cds_XP_017605271.1_30959	36	18	11	8	8	8
lcl|NC_030673.1_cds_XP_017606819.1_30961	453	285	256	229	140	85
lcl|NC_030673.1_cds_XP_017607289.1_30963	320	237	206	200	203	124
lcl|NC_030673.1_cds_XP_017603219.1_30964	1062	1110	1014	757	995	556
lcl|NC_030673.1_cds_XP_017603454.1_30965	394	279	303	280	391	179
lcl|NC_030673.1_cds_XP_017605340.1_30966	9	8	3	3	4	6
lcl|NC_030673.1_cds_XP_017607699.1_30970	1138	667	1062	1194	1646	881
lcl|NC_030673.1_cds_XP_017607697.1_30971	1	0	0	0	0	1
lcl|NC_030673.1_cds_XP_017603994.1_30972	2	3	6	5	8	3
lcl|NC_030673.1_cds_XP_017603460.1_30975	269	159	146	139	181	122
lcl|NC_030673.1_cds_XP_017606892.1_30976	345	202	320	404	265	145
lcl|NC_030673.1_cds_XP_017603361.1_30978	29	18	33	28	10	3
lcl|NC_030673.1_cds_XP_017603479.1_30979	46	23	17	9	31	17
lcl|NC_030673.1_cds_XP_017607118.1_30983	372	239	227	158	284	220
lcl|NC_030673.1_cds_XP_017603086.1_30984	143	81	145	75	125	29
lcl|NC_030673.1_cds_XP_017606540.1_30985	71	42	49	45	21	32
lcl|NC_030673.1_cds_XP_017606542.1_30988	48	18	97	47	18	11
lcl|NC_030673.1_cds_XP_017603583.1_30989	27	21	16	23	31	22
lcl|NC_030673.1_cds_XP_017603582.1_30990	15	5	11	21	22	17
lcl|NC_030673.1_cds_XP_017603584.1_30991	13	12	13	10	17	12
lcl|NC_030673.1_cds_XP_017605436.1_30992	14	6	3	0	3	3
lcl|NC_030673.1_cds_XP_017606434.1_30994	126	82	109	118	144	84
lcl|NC_030673.1_cds_XP_017606435.1_30995	3	2	0	0	5	2
lcl|NC_030673.1_cds_XP_017606436.1_30996	999	783	288	385	1158	627
lcl|NC_030673.1_cds_XP_017606816.1_30997	42	46	31	43	55	42
lcl|NC_030673.1_cds_XP_017606817.1_30998	5	1	3	1	0	1
lcl|NC_030673.1_cds_XP_017604213.1_30999	6	2	1	1	3	2
lcl|NC_030673.1_cds_XP_017606815.1_31000	146	110	149	119	262	204
lcl|NC_030673.1_cds_XP_017607415.1_31001	336	184	279	306	222	120
lcl|NC_030673.1_cds_XP_017604214.1_31002	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604953.1_31003	17	11	18	47	28	25
lcl|NC_030673.1_cds_XP_017607162.1_31005	478	315	915	979	1150	787
lcl|NC_030673.1_cds_XP_017605521.1_31006	0	1	1	2	3	1
lcl|NC_030673.1_cds_XP_017603229.1_31007	18	16	14	17	16	23
lcl|NC_030673.1_cds_XP_017605100.1_31008	59	29	76	71	63	40
lcl|NC_030673.1_cds_XP_017607331.1_31011	112	81	119	77	113	59
lcl|NC_030673.1_cds_XP_017607296.1_31013	126	96	47	53	37	36
lcl|NC_030673.1_cds_XP_017607297.1_31015	44	21	36	60	50	32
lcl|NC_030673.1_cds_XP_017607448.1_31016	76	59	64	82	70	56
lcl|NC_030673.1_cds_XP_017605724.1_31020	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604215.1_31022	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605784.1_31023	0	1	1	0	0	0
lcl|NC_030673.1_cds_XP_017604216.1_31024	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604964.1_31025	30	11	19	28	62	47
lcl|NC_030673.1_cds_XP_017603802.1_31026	407	307	176	176	928	580
lcl|NC_030673.1_cds_XP_017605632.1_31027	6	4	12	5	18	8
lcl|NC_030673.1_cds_XP_017605631.1_31028	16	4	14	9	20	11
lcl|NC_030673.1_cds_XP_017605170.1_31029	38	18	46	48	39	35
lcl|NC_030673.1_cds_XP_017604218.1_31030	18	3	0	0	0	0
lcl|NC_030673.1_cds_XP_017605880.1_31032	1	1	3	1	1	1
lcl|NC_030673.1_cds_XP_017604219.1_31033	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603630.1_31034	33	17	10	6	19	6
lcl|NC_030673.1_cds_XP_017605966.1_31036	7	4	7	9	0	2
lcl|NC_030673.1_cds_XP_017605198.1_31038	15	16	22	37	34	18
lcl|NC_030673.1_cds_XP_017605854.1_31039	2	2	2	2	4	4
lcl|NC_030673.1_cds_XP_017607455.1_31040	81	64	31	16	27	20
lcl|NC_030673.1_cds_XP_017604220.1_31041	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604221.1_31042	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603422.1_31043	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603423.1_31044	2117	1184	757	1052	1515	907
lcl|NC_030673.1_cds_XP_017603476.1_31045	15	13	8	7	6	5
lcl|NC_030673.1_cds_XP_017603356.1_31046	33	27	21	23	47	29
