GENE	G_arboreum%G_a_1	G_arboreum%G_a_2	G_hirsutum_TX2094%allo_1	G_hirsutum_TX2094%allo_2	G_raimondii%G_r_1	G_raimondii%G_r_2
lcl|NC_030664.1_cds_XP_017642801.1_140	10	13	8	15	62	32
lcl|NC_030664.1_cds_XP_017646334.1_142	3	0	2	1	0	0
lcl|NC_030664.1_cds_XP_017639948.1_143	9	11	12	9	18	8
lcl|NC_030664.1_cds_XP_017626861.1_144	106	59	155	241	109	62
lcl|NC_030664.1_cds_XP_017628099.1_145	45	37	58	57	71	28
lcl|NC_030664.1_cds_XP_017609283.1_147	98	62	45	31	80	70
lcl|NC_030664.1_cds_XP_017646363.1_148	21	12	10	7	13	6
lcl|NC_030664.1_cds_XP_017649929.1_150	126	46	105	105	64	51
lcl|NC_030664.1_cds_XP_017649943.1_151	6	1	5	5	13	4
lcl|NC_030664.1_cds_XP_017649954.1_152	3488	2133	2024	2709	1981	1284
lcl|NC_030664.1_cds_XP_017629671.1_153	0	3	3	2	0	0
lcl|NC_030664.1_cds_XP_017649968.1_154	2047	1654	2058	1904	1868	1009
lcl|NC_030664.1_cds_XP_017644275.1_155	14	0	7	19	5	4
lcl|NC_030664.1_cds_XP_017629681.1_156	0	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017647708.1_157	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623995.1_158	452	297	221	333	696	456
lcl|NC_030664.1_cds_XP_017627637.1_159	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017607020.1_160	410	286	490	504	370	336
lcl|NC_030664.1_cds_XP_017612729.1_161	4	0	6	5	4	1
lcl|NC_030664.1_cds_XP_017612719.1_162	73	37	53	74	78	44
lcl|NC_030664.1_cds_XP_017625503.1_163	129	92	128	111	127	47
lcl|NC_030664.1_cds_XP_017643544.1_164	3	4	8	5	3	3
lcl|NC_030664.1_cds_XP_017643554.1_165	3	0	4	4	1	0
