GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000399.1	0	0	0	0	0	0	0	0
CVRK01000400.1	0	0	0	0	0	0	0	0
CVRK01000401.1	0	0	0	0	0	0	0	0
CVRK01000402.1	0	0	0	0	0	0	395	0
CVRK01000403.1	0	0	0	0	0	0	0	0
CVRK01000404.1	0	0	0	0	0	0	0	0
CVRK01000405.1	0	0	0	0	0	0	13	0
CVRK01000406.1	0	0	0	0	0	0	7	0
CVRK01000407.1	0	0	0	0	0	0	0	0
CVRK01000408.1	0	0	0	0	0	0	53	0
CVRK01000409.1	0	0	0	0	0	0	63	0
CVRK01000410.1	0	0	0	0	0	0	2	0
CVRK01000411.1	0	0	0	0	0	0	0	0
CVRK01000412.1	0	0	0	0	0	0	9	0
CVRK01000413.1	0	0	0	0	0	0	55	0
CVRK01000414.1	0	0	0	0	0	0	0	0
CVRK01000416.1	0	0	0	0	0	0	9	0
CVRK01000417.1	0	0	0	0	0	0	12	0
CVRK01000418.1	0	0	0	0	0	0	63	0
CVRK01000419.1	0	0	0	0	0	0	9	0
CVRK01000420.1	0	0	0	0	0	0	0	0
CVRK01000421.1	0	0	0	0	0	0	2	0
CVRK01000422.1	0	0	0	0	0	0	0	0
CVRK01000423.1	0	0	0	0	0	0	7	0
CVRK01000424.1	155	0	123	0	0	0	469	0
CVRK01000425.1	0	0	0	0	0	0	0	0
CVRK01000426.1	0	1	23	0	217	2	385	0
CVRK01000427.1	0	0	0	0	0	0	0	0
CVRK01000428.1	0	0	0	0	0	0	326	0
CVRK01000429.1	0	0	0	0	0	0	4	0
CVRK01000430.1	0	0	0	0	0	0	4	0
CVRK01000431.1	0	0	0	0	0	0	0	0
CVRK01000432.1	0	0	0	0	0	0	30	0
CVRK01000433.1	0	0	0	0	0	0	0	0
CVRK01000434.1	0	0	0	0	0	0	6	0
CVRK01000435.1	0	0	0	0	0	0	73	0
CVRK01000436.1	0	0	0	0	0	0	12	0
CVRK01000437.1	0	0	0	0	0	0	81	0
CVRK01000438.1	0	0	0	0	0	0	196	0
CVRK01000439.1	0	0	0	0	0	0	6	0
CVRK01000440.1	0	0	0	0	0	0	23	0
CVRK01000441.1	0	0	0	0	0	0	1	0
CVRK01000442.1	0	0	0	0	0	0	173	0
CVRK01000443.1	0	0	50	0	45	1	4	0
CVRK01000444.1	0	0	0	0	0	0	33	0
CVRK01000445.1	0	0	0	0	0	0	0	0
CVRK01000446.1	0	0	0	0	0	0	2	0
CVRK01000447.1	0	0	0	0	0	0	28	0
CVRK01000448.1	0	0	0	0	0	0	17	0
CVRK01000449.1	0	0	0	0	0	0	10	0
CVRK01000450.1	0	0	0	0	0	0	5	0
CVRK01000451.1	0	0	0	0	0	0	1	0
CVRK01000452.1	0	0	0	0	0	0	4	0
CVRK01000453.1	0	0	0	0	0	0	2	0
CVRK01000454.1	0	0	0	0	0	0	3	0
CVRK01000455.1	0	0	0	0	0	0	0	0
CVRK01000456.1	0	0	0	0	0	0	0	0
CVRK01000457.1	0	0	0	0	0	0	15	0
CVRK01000458.1	0	0	0	0	0	0	23	0
CVRK01000459.1	0	0	0	0	0	0	1	0
CVRK01000460.1	0	0	0	0	0	0	7	0
CVRK01000461.1	0	0	0	0	0	0	0	0
CVRK01000462.1	0	0	0	0	0	0	3	0
CVRK01000463.1	0	0	0	0	0	0	5	0
CVRK01000464.1	0	0	0	0	0	0	0	0
CVRK01000465.1	0	0	0	0	0	0	4	0
CVRK01000466.1	0	0	0	0	0	0	0	0
CVRK01000467.1	0	0	0	0	0	0	12	0
CVRK01000468.1	0	0	0	0	0	0	4	0
CVRK01000469.1	0	0	0	0	0	0	8	0
CVRK01000470.1	0	0	0	0	0	0	83	0
CVRK01000471.1	0	0	0	0	0	0	29	0
CVRK01000472.1	3633	238	2013	79	1914	148	3224	20
CVRK01000473.1	0	0	0	0	0	0	0	0
CVRK01000474.1	0	0	0	0	0	0	1	0
CVRK01000475.1	891	10	343	71	220	21	139	11
CVRK01000476.1	0	0	0	0	0	0	90	0
CVRK01000477.1	0	0	0	0	0	0	3	0
CVRK01000478.1	0	0	0	0	0	0	7	0
CVRK01000480.1	0	0	0	0	0	0	15	0
CVRK01000481.1	0	0	0	0	0	0	3	0
CVRK01000482.1	0	0	0	0	0	0	12	0
CVRK01000483.1	0	0	0	0	0	0	38	0
CVRK01000484.1	0	0	0	0	0	0	70	0
CVRK01000485.1	0	0	0	0	0	0	232	0
CVRK01000486.1	0	0	0	0	0	0	85	0
CVRK01000487.1	0	0	0	0	0	0	3	0
CVRK01000488.1	0	0	0	0	38	2	202	0
CVRK01000489.1	5	1	0	0	28	2	15	0
CVRK01000490.1	0	0	0	0	0	0	24	0
CVRK01000491.1	0	0	0	0	0	0	0	0
CVRK01000492.1	0	0	0	0	0	0	0	0
CVRK01000493.1	171	2	265	7	173	0	224	0
CVRK01000494.1	0	0	0	0	0	0	0	0
CVRK01000495.1	0	0	0	0	0	0	1	0
CVRK01000496.1	0	0	0	0	0	0	48	0
CVRK01000497.1	0	0	0	0	0	0	31	0
CVRK01000498.1	0	0	0	0	0	0	51	0
CVRK01000499.1	0	0	0	0	0	0	0	0
CVRK01000500.1	0	0	0	0	0	0	5	0
CVRK01000501.1	0	0	0	0	0	0	37	0
CVRK01000502.1	0	0	0	0	0	0	50	0
CVRK01000503.1	0	0	0	0	0	0	17	0
CVRK01000505.1	0	0	0	0	0	0	3	0
CVRK01000506.1	0	0	0	0	0	0	7	0
CVRK01000507.1	0	0	0	0	0	0	34	0
CVRK01000508.1	0	0	0	0	0	0	22	0
