GENE	S_alburnoides	S_alburnoides+N	S_pyrenaicus	S_pyrenaicus+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
CVRK01000284.1	0	0	0	0	0	0	0	0
CVRK01000285.1	0	0	0	0	0	0	0	0
CVRK01000286.1	0	0	0	0	0	0	8	0
CVRK01000287.1	0	0	0	0	0	0	3	0
CVRK01000288.1	0	0	0	0	0	0	2093	0
CVRK01000289.1	0	0	0	0	0	0	0	0
CVRK01000290.1	0	0	0	0	0	0	25	0
CVRK01000291.1	0	0	0	0	0	0	0	0
CVRK01000292.1	0	0	0	0	0	0	44	0
CVRK01000293.1	0	0	0	0	0	0	1	0
CVRK01000294.1	0	0	0	0	0	0	122	0
CVRK01000295.1	0	0	0	0	0	0	0	0
CVRK01000296.1	0	0	0	0	0	0	10	0
CVRK01000297.1	0	0	0	0	0	0	0	0
CVRK01000298.1	0	0	0	0	0	0	0	0
CVRK01000299.1	0	0	0	0	0	0	0	0
CVRK01000300.1	0	0	0	0	0	0	1	0
CVRK01000301.1	0	0	0	0	0	0	3	0
CVRK01000302.1	0	0	0	0	0	0	24	0
CVRK01000303.1	0	0	0	0	0	0	0	0
CVRK01000304.1	0	0	0	0	0	0	1	0
CVRK01000305.1	0	0	0	0	0	0	58	0
CVRK01000306.1	0	0	0	0	0	0	35	0
CVRK01000307.1	0	0	0	0	0	0	135	0
CVRK01000308.1	0	0	0	0	0	0	0	0
CVRK01000309.1	0	0	0	0	0	0	27	0
CVRK01000310.1	58	5	69	3	52	3	102	17
CVRK01000311.1	0	0	0	0	0	0	0	0
CVRK01000312.1	0	0	0	0	0	0	5	0
CVRK01000313.1	0	0	0	0	0	0	0	0
CVRK01000314.1	0	0	0	0	0	0	27	0
CVRK01000315.1	0	0	0	0	0	0	140	0
CVRK01000316.1	0	0	0	0	0	0	16	0
CVRK01000317.1	0	0	0	0	0	0	329	0
CVRK01000318.1	0	0	0	0	0	0	853	0
CVRK01000319.1	0	0	0	0	0	0	1	0
CVRK01000320.1	0	0	0	0	0	0	8	0
CVRK01000321.1	0	0	0	0	0	0	31	0
CVRK01000322.1	0	0	0	0	0	0	9	0
CVRK01000323.1	0	0	0	0	0	0	0	0
CVRK01000324.1	0	0	0	0	0	0	14	0
CVRK01000325.1	0	0	0	0	0	0	6	0
CVRK01000326.1	0	0	0	0	0	0	1	0
CVRK01000328.1	8	0	7	0	13	0	338	0
CVRK01000329.1	21	0	28	0	0	0	433	0
CVRK01000330.1	0	0	0	0	0	0	27	0
CVRK01000331.1	0	0	0	0	0	0	0	0
CVRK01000332.1	0	0	0	0	0	0	62	0
CVRK01000333.1	0	0	0	0	0	0	1	0
CVRK01000334.1	0	0	0	0	0	0	2	0
CVRK01000335.1	0	0	0	0	0	0	3	0
CVRK01000336.1	0	0	0	0	0	0	155	0
CVRK01000337.1	0	0	0	0	0	0	8	0
CVRK01000338.1	0	0	0	0	0	0	0	0
CVRK01000339.1	0	0	0	0	0	0	146	0
CVRK01000340.1	0	0	0	0	0	0	683	0
CVRK01000341.1	0	0	0	0	0	0	2	0
CVRK01000342.1	0	0	0	0	0	0	0	0
CVRK01000343.1	0	0	0	0	0	0	21	0
CVRK01000344.1	0	0	0	0	0	0	0	0
CVRK01000345.1	0	0	0	0	0	0	72	0
CVRK01000346.1	0	0	0	0	0	0	0	0
CVRK01000347.1	0	0	0	0	0	0	27	0
CVRK01000348.1	0	0	0	0	0	0	2	0
CVRK01000349.1	0	0	0	0	0	0	0	0
CVRK01000350.1	0	0	0	0	0	0	28	0
CVRK01000351.1	0	0	0	0	0	0	0	0
CVRK01000352.1	0	0	0	0	0	0	28	0
CVRK01000353.1	0	0	0	0	0	0	5	0
CVRK01000354.1	0	0	0	0	0	0	4	0
CVRK01000355.1	0	0	0	0	0	0	1	0
CVRK01000356.1	0	0	0	0	0	0	3	0
